,logFC,logCPM,F,PValue,FDR
WBGene00008710,-0.514416041,5.71314472,22.41226459,2.5878233282482e-05,6.79297493706539e-05
WBGene00006911,-0.25147925,10.23282748,22.41017549,2.58964060292927e-05,6.79645730045022e-05
WBGene00013835,-0.667055566,3.055772839,22.40356407,2.59581500810081e-05,6.81137137567956e-05
WBGene00008194,-0.348927289,7.616476588,22.39324605,2.60446285515452e-05,6.83276883893947e-05
WBGene00020894,-0.940121172,3.002350419,22.3892743,2.60838520358424e-05,6.8417632721168e-05
WBGene00016002,-0.33762947,6.960987962,22.36677345,2.62781941438539e-05,6.89143402651769e-05
WBGene00044528,1.337248476,-0.219199088,22.4309255,2.64120467470975e-05,6.92522565854239e-05
WBGene00007565,-1.042622771,4.770693071,22.34804962,2.64460872190939e-05,6.93283876152324e-05
WBGene00001468,-0.879686173,3.460359177,22.34746501,2.64527381091323e-05,6.93327016627626e-05
WBGene00009456,-0.25981806,5.96027672,22.33800811,2.6534509948119e-05,6.9533869050576e-05
WBGene00008345,0.298816814,5.230751283,22.31693536,2.67239958656498e-05,7.00171724476982e-05
WBGene00020777,0.689101925,3.185654463,22.31568444,2.67388032472625e-05,7.00427198527004e-05
WBGene00019329,0.648996086,4.264598592,22.31200293,2.67697962863107e-05,7.01058330114827e-05
WBGene00000533,0.255174097,4.858434069,22.31152083,2.67730188153872e-05,7.01058330114827e-05
WBGene00000169,0.795611772,7.363356548,22.31091828,2.67782379492968e-05,7.01062468481684e-05
WBGene00006747,-0.260345271,5.896760153,22.31026794,2.67841561301819e-05,7.01084903090097e-05
WBGene00022506,1.547066574,-0.267186233,22.38742944,2.68967960190431e-05,7.03900280475695e-05
WBGene00008457,-0.605319209,3.448719197,22.29264713,2.6946730908171e-05,7.05073888439714e-05
WBGene00043062,-0.696560783,3.550213721,22.25488984,2.72926922473764e-05,7.13991261587644e-05
WBGene00015540,-0.436142959,7.114671592,22.25195455,2.73169862073736e-05,7.14491867342409e-05
WBGene00006379,-0.717587433,4.386463844,22.2481981,2.73529484495559e-05,7.15234893985265e-05
WBGene00020456,0.71628042,2.883301064,22.24832325,2.73557209668924e-05,7.15234893985265e-05
WBGene00021224,1.550446928,4.797325277,22.24721069,2.73620950160634e-05,7.15266541163446e-05
WBGene00003620,1.138882262,5.972188453,22.21493147,2.76611197786548e-05,7.22946851271559e-05
WBGene00017707,-1.695944577,0.153389617,22.25488369,2.76793534628673e-05,7.23286934856892e-05
WBGene00016849,0.601697452,3.161578001,22.20901247,2.7720214947442e-05,7.24218063847542e-05
WBGene00004307,-0.274204585,6.720008521,22.18960786,2.78990610150148e-05,7.28753145728804e-05
WBGene00019680,-0.423496377,7.093548858,22.18854975,2.79090456438302e-05,7.28876508782685e-05
WBGene00019479,0.371727664,5.761907175,22.18098593,2.79806173105193e-05,7.30607937766849e-05
WBGene00003729,-0.714671815,3.119854573,22.16585744,2.81283652667977e-05,7.34327394790202e-05
WBGene00018295,-1.794688836,1.242190946,22.1708414,2.81426633782154e-05,7.34562225579498e-05
WBGene00013551,-0.597668918,2.832201165,22.16157455,2.81704236453441e-05,7.35148282470433e-05
WBGene00044922,0.832745251,2.331726495,22.14479758,2.83364558426452e-05,7.39234095154146e-05
WBGene00008120,0.327495536,4.458273563,22.14309779,2.83428715386758e-05,7.39234095154146e-05
WBGene00013365,-0.345284378,5.043472461,22.14298317,2.83429994178723e-05,7.39234095154146e-05
WBGene00016295,0.687219213,3.020877618,22.1352625,2.84215367300335e-05,7.4114293445863e-05
WBGene00008601,0.274236433,6.868190578,22.08677925,2.88877310071311e-05,7.5315800849008e-05
WBGene00007980,0.282924186,7.6784284,22.08270148,2.89276809698899e-05,7.54019741144596e-05
WBGene00022363,-0.401456316,5.809866247,22.08229973,2.89316699695605e-05,7.54019741144596e-05
WBGene00004447,-0.316453618,10.14516832,22.05661226,2.91847048106489e-05,7.60471277345953e-05
