,logFC,logCPM,F,PValue,FDR
WBGene00004336,1.138993741,7.587829637,99.94316164,1.35441845943421e-12,1.62577162045777e-11
WBGene00016677,1.337988167,5.177568726,99.91804381,1.35951117238833e-12,1.62959376180061e-11
WBGene00010075,-0.907284637,6.672588474,99.91554884,1.35995552168748e-12,1.62959376180061e-11
WBGene00019593,1.621665878,4.728567127,99.81428473,1.38077240632393e-12,1.65310798378557e-11
WBGene00007050,-0.940165516,7.302808405,99.76840159,1.38984292326371e-12,1.66253058489196e-11
WBGene00018380,4.211570912,-0.727029089,93.80070986,1.3944211004416e-12,1.6665678242724e-11
WBGene00015927,-0.450321585,6.958274812,99.71261002,1.40135638854157e-12,1.67341281845499e-11
WBGene00017726,2.099975907,2.668538874,99.67730004,1.41133257924569e-12,1.683874150535e-11
WBGene00019727,-0.896828438,6.590353065,99.63114348,1.41834926585386e-12,1.69078950349464e-11
WBGene00044471,3.395617991,-0.588652777,87.58192377,1.42833478795252e-12,1.70122901829048e-11
WBGene00020849,2.921755707,0.159693387,100.5305207,1.44176646370554e-12,1.7157516370489e-11
WBGene00006536,-0.899951968,9.244139974,99.50855388,1.44431866608587e-12,1.71731349035377e-11
WBGene00020808,-0.700062718,8.673357561,99.4785163,1.4507591407288e-12,1.72349190543528e-11
WBGene00018564,1.349812656,5.884577007,99.46902401,1.45281755635702e-12,1.72445833681726e-11
WBGene00271795,1.978572885,2.401011395,99.41899307,1.4673385695587e-12,1.74020324191157e-11
WBGene00016670,3.209478256,-0.630722962,90.95113187,1.48736881156681e-12,1.76244933942031e-11
WBGene00011064,-0.617526629,6.469899296,99.30064814,1.48952419603225e-12,1.76321713486028e-11
WBGene00008389,2.917665184,1.353576781,99.46684869,1.49056256491582e-12,1.76321713486028e-11
WBGene00002000,-0.782254274,8.699805309,99.21057232,1.50955854667328e-12,1.78416424816708e-11
WBGene00012722,-0.89331177,6.530442485,99.20286722,1.51129226557472e-12,1.78469057653376e-11
WBGene00013007,-6.249465371,2.319591903,97.93219954,1.52932693125023e-12,1.80444945925708e-11
WBGene00009559,-0.796139796,5.81105765,99.10695355,1.53298011391611e-12,1.80697206060768e-11
WBGene00004874,-0.704961725,7.076097146,99.10208712,1.53407388339202e-12,1.80697206060768e-11
WBGene00020208,1.116221479,6.370164476,99.05475747,1.54490445646263e-12,1.81818322267802e-11
WBGene00022042,-0.449404758,9.78964196,99.0398848,1.54831367813237e-12,1.82064864766465e-11
WBGene00013020,0.68969689,6.149018508,99.00155848,1.55716950694778e-12,1.82950907635629e-11
WBGene00006823,1.015880393,6.564115449,98.98701351,1.56053546108221e-12,1.83073517384651e-11
WBGene00017098,-0.969465061,6.716011564,98.98562475,1.56085636753734e-12,1.83073517384651e-11
WBGene00019148,-2.788920991,4.16996485,98.94013969,1.57231684200351e-12,1.84261699622949e-11
WBGene00003986,-0.551125087,7.084003617,98.89094376,1.58298682626685e-12,1.85355312911652e-11
WBGene00021133,-0.953437682,6.097264003,98.83311133,1.59667734624427e-12,1.86800461150132e-11
WBGene00016412,-0.745274769,6.064526266,98.78852625,1.60730896386181e-12,1.87854036264387e-11
WBGene00017800,-0.577130518,6.117219196,98.78398377,1.60839508381145e-12,1.87854036264387e-11
WBGene00005117,4.205760386,-1.852740473,75.49612149,1.61147291420298e-12,1.880549520433e-11
WBGene00007312,-1.065471551,5.24851097,98.75159526,1.61623625555443e-12,1.88452059023063e-11
WBGene00012980,0.715905334,5.53773479,98.73699606,1.61970365782376e-12,1.88697519496844e-11
WBGene00006489,-0.780449031,5.46649876,98.67825932,1.63394041170763e-12,1.90196156159447e-11
WBGene00001852,3.807035605,4.506049578,98.66971758,1.63682814455094e-12,1.90372321228544e-11
WBGene00013950,1.443799836,3.687744738,98.66031264,1.6392080366248e-12,1.9047921394151e-11
WBGene00016195,-0.886422569,6.704932746,98.6512784,1.64049741721211e-12,1.9047921394151e-11
WBGene00003952,-0.855173349,6.883378851,98.63727828,1.64392262466247e-12,1.90717053574745e-11
WBGene00010730,0.766273325,6.323796253,98.62643476,1.64658649050639e-12,1.90866243234264e-11
WBGene00013516,2.296101122,4.793023304,98.59880557,1.65377665590909e-12,1.91539416702782e-11
WBGene00018913,7.61686192,7.074041552,92.17057089,1.66315559508236e-12,1.92272345401566e-11
WBGene00003544,1.692140058,2.816609623,98.56587679,1.6638364075477e-12,1.92272345401566e-11
WBGene00021469,1.715395089,6.748653412,98.55477646,1.66426900185156e-12,1.92272345401566e-11
WBGene00001320,-0.699437443,6.294669929,98.45497845,1.68923497795216e-12,1.94994024288277e-11
WBGene00021170,-0.560473207,6.295428336,98.42119487,1.69777390620896e-12,1.95816520806049e-11
WBGene00017571,-0.560893266,6.799346341,98.41006086,1.70059320645731e-12,1.95978511612701e-11
WBGene00009057,-1.411361712,5.851246675,98.33135625,1.72072476313325e-12,1.98133661005168e-11
WBGene00017306,1.735453528,3.144924778,98.32597442,1.72371352494316e-12,1.9831295471356e-11
WBGene00013920,-0.791468548,6.37694267,98.29936532,1.72894471601749e-12,1.98749727852898e-11
WBGene00013151,-1.284056861,4.444186783,98.28356451,1.73346693714685e-12,1.99104345052721e-11
WBGene00015476,1.40407099,2.779249487,98.23239509,1.74871258778157e-12,2.00689037000417e-11
WBGene00016119,4.235070331,3.39692337,98.19720701,1.7608333340415e-12,2.01912776019394e-11
WBGene00019918,1.525036398,2.136533259,98.17851465,1.76627393944577e-12,2.02369120009949e-11
WBGene00010941,-0.700398563,5.999473392,98.10427687,1.7801225041616e-12,2.03787247335921e-11
WBGene00020999,-1.134689795,6.712384148,98.07084674,1.78904003770346e-12,2.04638997541439e-11
WBGene00012652,-1.105553613,5.290507041,98.04198245,1.7968637869258e-12,2.05364333139407e-11
WBGene00012555,-0.658654245,5.630756628,98.00967529,1.80551607498999e-12,2.06183088794405e-11
WBGene00001073,-1.676123306,8.278983427,97.95150834,1.82128618646314e-12,2.07812654488364e-11
WBGene00018897,-0.95898335,5.125250254,97.9451331,1.82312030750956e-12,2.07850720161502e-11
WBGene00016411,-1.210528631,4.676029352,97.89577723,1.83678556014777e-12,2.0923646035499e-11
WBGene00016391,-0.761172825,6.447432138,97.8380612,1.8525191643494e-12,2.10855344819786e-11
WBGene00012205,-0.78788299,5.045748219,97.82955691,1.85497433732092e-12,2.10961449265758e-11
WBGene00002079,-0.97821701,6.403602271,97.82342022,1.85659051812962e-12,2.10972041485902e-11
WBGene00020315,1.342011386,4.957323161,97.78402222,1.8677520761162e-12,2.12066407855423e-11
WBGene00007555,0.844669367,6.285002905,97.77409434,1.87037485520234e-12,2.12190274318286e-11
WBGene00022816,-5.160813072,8.430809621,97.70500443,1.88991284160707e-12,2.14231364009339e-11
WBGene00021427,-1.706538729,7.711346949,97.62541367,1.91256318547823e-12,2.1662162915163e-11
WBGene00011185,2.292486459,3.049345221,97.584213,1.92702258758116e-12,2.18081020287371e-11
WBGene00004386,-0.797566627,5.310237275,97.32699564,2.00034274558131e-12,2.26193858871774e-11
WBGene00000123,-0.563781436,8.207794621,97.2939921,2.01025692137941e-12,2.27129517740192e-11
WBGene00009787,-1.630990003,9.856528389,97.2447398,2.02521535461064e-12,2.28633114034772e-11
WBGene00007435,-1.097214877,4.19123431,97.2396088,2.02752327697383e-12,2.28707267366787e-11
WBGene00015055,2.360146681,2.336299919,97.09600343,2.077717305332e-12,2.34178520044417e-11
WBGene00000273,1.65807622,7.952431336,97.05837628,2.08288475743253e-12,2.34461182144162e-11
WBGene00006701,0.837457218,6.193797714,97.05610561,2.08361041885261e-12,2.34461182144162e-11
WBGene00077526,-1.279059513,5.822534233,97.00028938,2.10123492216944e-12,2.36252484917947e-11
WBGene00007647,0.683198064,5.524897874,96.99018659,2.10444699832313e-12,2.36421734150625e-11
WBGene00003649,1.535324538,2.95369547,96.95564791,2.11787526633915e-12,2.37737505586142e-11
WBGene00020691,-2.240064222,3.264823558,96.92526088,2.12794639986314e-12,2.38674603489103e-11
WBGene00004703,-0.807191684,7.246354703,96.87234267,2.14217209626714e-12,2.40075791889097e-11
WBGene00011740,-0.721069001,5.12437079,96.81729207,2.16013544632056e-12,2.41893259518451e-11
WBGene00001330,-0.601197544,7.923139159,96.7320734,2.18803998657072e-12,2.44820112229221e-11
WBGene00017464,1.352082132,4.158138977,96.60358477,2.23175882245786e-12,2.49510276099162e-11
WBGene00004923,0.834125464,4.630222058,96.4840626,2.27207568294408e-12,2.53812841614043e-11
WBGene00008042,-2.163138104,4.056985768,96.44762264,2.28537875377796e-12,2.5509320304055e-11
WBGene00004388,-1.02834849,6.024970536,96.38998825,2.3042975068768e-12,2.56997818560849e-11
WBGene00004187,-0.599981269,9.077163534,96.33049826,2.32514410292637e-12,2.59114208477362e-11
WBGene00020813,-1.388008613,3.450333649,96.32103781,2.33004243896357e-12,2.59352138252822e-11
WBGene00008458,-0.974176723,4.296047797,96.31585964,2.33102376642191e-12,2.59352138252822e-11
WBGene00021475,-0.791086459,4.823835846,96.28076388,2.34289365905743e-12,2.6045810486985e-11
WBGene00013267,-1.050247402,5.552593778,96.27529646,2.3447246374004e-12,2.6045810486985e-11
WBGene00020083,-4.209653781,4.195647412,96.22145618,2.36836555201715e-12,2.62827890881845e-11
WBGene00009654,-0.701913037,5.856951501,96.20496594,2.36985298665481e-12,2.62827890881845e-11
WBGene00001331,-0.953067233,6.851069834,96.19327977,2.37404009288907e-12,2.63081626933595e-11
WBGene00022493,-1.07383268,5.618287747,96.18349864,2.37761098451951e-12,2.6326672548013e-11
WBGene00010812,-1.11419499,4.314047585,96.15585183,2.38830276571606e-12,2.64239376283537e-11
WBGene00017950,1.380041599,4.471787649,96.14175273,2.3933403023807e-12,2.64585394003012e-11
WBGene00003635,0.740768234,5.78803443,96.11887498,2.40102138543738e-12,2.6522287265613e-11
WBGene00008777,1.14968035,3.381825496,96.05819205,2.4248838136244e-12,2.67645343317332e-11
WBGene00022643,3.547319227,2.310804473,96.03396739,2.45553182103674e-12,2.70812315167205e-11
WBGene00007479,-3.615830009,8.424020709,95.95862528,2.46015791687773e-12,2.71106662407242e-11
WBGene00020135,1.460862005,4.390425918,95.95309777,2.46293043204858e-12,2.7119644153209e-11
WBGene00015695,-1.404363375,4.456620803,95.93860767,2.46827226777543e-12,2.71568764521249e-11
WBGene00004732,-0.474537059,8.23370821,95.91885531,2.47507106241234e-12,2.72100669496315e-11
WBGene00011289,0.922293656,6.108291361,95.90609953,2.47989401070743e-12,2.72252455899751e-11
WBGene00007765,4.166781774,0.080344609,95.9437566,2.48083266062711e-12,2.72252455899751e-11
WBGene00008053,-0.887452599,8.13027936,95.89485803,2.48411838662621e-12,2.72252455899751e-11
WBGene00000277,0.811588023,9.193382043,95.89433909,2.48431348727465e-12,2.72252455899751e-11
WBGene00003870,-0.748671093,5.711397979,95.88251657,2.48881525173854e-12,2.72530188672587e-11
WBGene00006431,1.421527744,4.301174548,95.87324833,2.4930895688863e-12,2.72782596431383e-11
WBGene00010746,3.892460208,1.195304645,96.65060207,2.50141152881988e-12,2.73400525216739e-11
WBGene00011003,2.690675972,3.050362564,95.85495391,2.50268456522398e-12,2.73400525216739e-11
WBGene00015124,-1.214766675,2.872205531,95.78892343,2.52739291913438e-12,2.75882164821509e-11
WBGene00022864,-0.787184999,4.282298322,95.68229289,2.56660746387151e-12,2.799420991303e-11
WBGene00002268,0.717733418,6.081939049,95.66937708,2.57085839420023e-12,2.80185133567754e-11
WBGene00000675,1.917699147,1.283153531,95.7222127,2.57813634852068e-12,2.807574268845e-11
WBGene00016641,-1.591483452,5.584764716,95.52344155,2.62876019880637e-12,2.86045453840266e-11
WBGene00010178,-0.661493202,5.98652685,95.51586013,2.63171527261418e-12,2.86142228855978e-11
WBGene00016631,-0.604414046,5.798005281,95.46743525,2.65122998323357e-12,2.88037942962756e-11
WBGene00021830,-0.981552779,6.062553344,95.34334184,2.70190867306763e-12,2.9331378479101e-11
WBGene00012148,1.236674193,7.497069257,95.1964734,2.76319367206925e-12,2.99731861750221e-11
WBGene00008411,-0.818173379,5.994738528,95.16652082,2.7758952206185e-12,3.00874026572828e-11
WBGene00011043,-0.884112989,6.659207444,95.15079752,2.7825617403914e-12,3.01360791461311e-11
WBGene00011932,-0.704588342,6.797230994,95.14241569,2.78612846632174e-12,3.01511339964756e-11
WBGene00017300,-1.056143501,7.456501171,95.05157574,2.82510611199829e-12,3.05490787380174e-11
WBGene00011364,1.641690524,2.906201366,95.04447865,2.83223763074117e-12,3.06023055078211e-11
WBGene00021956,0.672174429,6.520528332,95.00854638,2.8437788499299e-12,3.07030589471777e-11
WBGene00013046,1.731465828,1.868554675,94.99971925,2.86165583394411e-12,3.08514839502585e-11
WBGene00006307,-0.677389009,6.175826928,94.96688433,2.86198071585924e-12,3.08514839502585e-11
WBGene00008205,-1.408987189,11.03961847,94.91566296,2.88449869247716e-12,3.10700434589375e-11
WBGene00017681,1.051791571,4.293070298,94.9048147,2.89011994471665e-12,3.11064036318687e-11
WBGene00014017,0.86149434,4.893938017,94.88774039,2.89707133093831e-12,3.11570124814887e-11
WBGene00009521,-0.671776804,6.71539421,94.81165423,2.9308451608996e-12,3.1495785235672e-11
WBGene00022063,1.227249178,3.96966236,94.80395559,2.93543549947031e-12,3.15206608826843e-11
WBGene00000978,1.329200077,3.134354494,94.77293461,2.95090012091624e-12,3.16531752510128e-11
WBGene00219274,2.879348478,1.845514312,94.7311159,2.95234640660616e-12,3.16531752510128e-11
WBGene00016509,0.817178967,8.426064158,94.75163704,2.95792980805657e-12,3.16885102097445e-11
WBGene00020446,0.818558533,6.000824765,94.68345894,2.98905090453178e-12,3.19971662516029e-11
WBGene00017303,2.388108096,4.140703982,94.67960575,2.99209843052996e-12,3.2005055953437e-11
WBGene00017961,1.149326233,3.197964599,94.64675655,3.00827135240548e-12,3.21532212758647e-11
WBGene00016714,-1.845424997,3.955675064,94.63045417,3.01487442738716e-12,3.21768323148641e-11
WBGene00006794,-0.594554248,6.240994859,94.62684187,3.01512621604776e-12,3.21768323148641e-11
WBGene00010720,-0.600212787,5.426408671,94.62064111,3.0180346869568e-12,3.21830765848542e-11
WBGene00022440,2.252291292,0.956390649,94.66560183,3.07269411447558e-12,3.27407375951659e-11
WBGene00003632,1.207604267,4.122845752,94.48907261,3.08065487745603e-12,3.27792114298553e-11
WBGene00006366,-4.933068143,8.281383317,94.48619434,3.08103763223156e-12,3.27792114298553e-11
WBGene00013244,2.441292206,1.88897066,94.51265678,3.0847660468825e-12,3.27936909297133e-11
WBGene00006982,1.099301402,4.129165026,94.47141272,3.08901243894125e-12,3.28136505400416e-11
WBGene00022463,-0.548540235,6.107065878,94.44678801,3.09967910447481e-12,3.29017279350077e-11
WBGene00000923,-0.771275943,5.84560313,94.39623217,3.12387426969232e-12,3.31331595587887e-11
WBGene00018150,0.859143287,4.551605503,94.35152867,3.1460821885682e-12,3.3343175574634e-11
WBGene00009594,0.597194932,6.685634477,94.34512497,3.14850038189441e-12,3.33432930351692e-11
WBGene00019365,0.788205778,5.538827212,94.20816265,3.21561113224738e-12,3.40279949609555e-11
WBGene00007750,-0.69916527,4.729379281,94.18763123,3.2260291977828e-12,3.41121804944178e-11
WBGene00001069,-5.275452012,6.640759213,94.17951366,3.23052556974114e-12,3.41336691014907e-11
WBGene00021752,-0.642486311,5.268309733,94.08655481,3.27643873109838e-12,3.45914227851141e-11
WBGene00044324,-1.36533308,5.784306556,94.08176529,3.27884335235741e-12,3.45914227851141e-11
WBGene00004918,-1.056389377,4.853022075,93.99559608,3.3228602312565e-12,3.50087215597242e-11
WBGene00021702,0.924979216,5.003182151,93.99431752,3.32345284803908e-12,3.50087215597242e-11
WBGene00013958,-1.244650342,5.491685997,93.98075052,3.33037963153883e-12,3.50550293739178e-11
WBGene00016345,1.94148764,1.191896487,93.9854323,3.37595471249051e-12,3.54935667926342e-11
WBGene00011839,1.57118458,3.126438301,93.8961121,3.3771672706246e-12,3.54935667926342e-11
WBGene00023408,1.123648591,4.952501716,93.76533272,3.44312582080974e-12,3.61593471340838e-11
WBGene00018036,0.894063101,4.674438593,93.69955491,3.47852822304208e-12,3.65034643527112e-11
WBGene00001769,1.812106473,1.973709881,93.68550533,3.49889908912305e-12,3.6689439956497e-11
WBGene00012966,-0.823453164,4.550680831,93.58806027,3.53912275108887e-12,3.70831530620901e-11
WBGene00009352,-0.759661697,5.688942873,93.57892816,3.54355003070815e-12,3.70906944743588e-11
WBGene00016734,1.119310101,4.517770103,93.5775253,3.54519776812382e-12,3.70906944743588e-11
WBGene00302980,-0.697102489,8.697798791,93.5036501,3.58502393400601e-12,3.74790577613972e-11
WBGene00012556,-0.981242417,4.186007799,93.49885864,3.58892451785561e-12,3.74915402875837e-11
WBGene00000172,-0.859542479,5.464131748,93.46299371,3.60780380212045e-12,3.76478913521789e-11
WBGene00022416,-1.157330244,3.338319231,93.46457289,3.60932715244684e-12,3.76478913521789e-11
WBGene00013321,-1.552901677,4.931824764,93.44737006,3.61675320220368e-12,3.76969641511854e-11
WBGene00018743,-1.15196514,7.086938948,93.41916717,3.63223549699482e-12,3.78298692514077e-11
WBGene00004916,-0.949594028,6.289753032,93.41196736,3.63630201627873e-12,3.78437682415424e-11
WBGene00019488,0.932045434,5.231541475,93.40705547,3.63914529824926e-12,3.78449254289405e-11
WBGene00003123,-0.909099807,6.79565318,93.35706176,3.66735544132648e-12,3.8093828841955e-11
WBGene00000549,-0.611315058,6.614500893,93.35264358,3.66986945500088e-12,3.8093828841955e-11
WBGene00009133,-3.070028373,4.824375799,93.35193956,3.6713298804512e-12,3.8093828841955e-11
WBGene00003062,-1.309129245,7.326646972,93.33563045,3.67955137076522e-12,3.81505580747304e-11
WBGene00008624,-0.854340797,5.188138643,93.26343569,3.72109492556638e-12,3.85282246594741e-11
WBGene00004194,0.617633563,4.757050427,93.26309248,3.7215394595998e-12,3.85282246594741e-11
WBGene00006706,-0.635629595,7.245571825,93.18489467,3.76657446749185e-12,3.89653394501098e-11
WBGene00007989,3.443054234,-0.310690158,93.96144045,3.79177978034285e-12,3.91968160576934e-11
WBGene00001031,-0.701107972,8.804643834,93.03138602,3.85741490872697e-12,3.98455714509217e-11
WBGene00009801,1.066664156,5.220820755,93.0234961,3.86224579160882e-12,3.98657441917775e-11
WBGene00011239,-0.896707718,6.245729424,92.97222362,3.89306100893857e-12,4.01407500392559e-11
WBGene00017133,1.65131301,2.443727385,92.9834592,3.89468438151602e-12,4.01407500392559e-11
WBGene00006515,-0.730030564,5.785484015,92.8678738,3.95675523734127e-12,4.07242060252819e-11
WBGene00004503,-0.736721765,7.175059519,92.86713132,3.9571745098202e-12,4.07242060252819e-11
WBGene00000236,-0.836730523,4.446054304,92.85172831,3.96764719864862e-12,4.0801669633022e-11
WBGene00021876,2.825437914,5.252321011,92.77847338,4.01274211175876e-12,4.12347950534736e-11
WBGene00008485,2.127006251,1.920660933,92.81343266,4.01982319924694e-12,4.12769391815928e-11
WBGene00002075,-0.723317989,6.429504851,92.752357,4.02849284992041e-12,4.13353207089611e-11
WBGene00018960,-0.916841659,6.058843772,92.73829469,4.03733601036002e-12,4.1395394830131e-11
WBGene00001444,0.774321863,6.548572411,92.70763588,4.05663861071048e-12,4.15625429257112e-11
WBGene00022253,-0.640249868,6.341417532,92.67717555,4.0759330221873e-12,4.17293601059412e-11
WBGene00015949,-1.073609036,4.385114585,92.67103493,4.08087138716458e-12,4.17490623744489e-11
WBGene00000479,-0.715162351,6.815374793,92.6053831,4.12176977984517e-12,4.2136350546432e-11
WBGene00008591,3.401761144,0.614057863,93.59898546,4.13444833197512e-12,4.22347922525954e-11
WBGene00002073,-1.917193168,6.460789084,92.55829087,4.15215184297908e-12,4.23843827037187e-11
WBGene00006897,-1.642677083,3.340216533,92.52911256,4.17450701226767e-12,4.25812011295521e-11
WBGene00006565,-1.396541609,8.159010142,92.48647088,4.19889120973213e-12,4.27984113592417e-11
WBGene00012550,-0.883263632,6.548187839,92.46584645,4.21243687056547e-12,4.29049084787301e-11
WBGene00019836,-0.868015835,5.192173012,92.37032989,4.27588279797052e-12,4.3519124553628e-11
WBGene00019884,0.799155394,5.205281371,92.30205782,4.32162219387426e-12,4.39523572904157e-11
WBGene00003528,2.557867904,3.3736116,92.22205868,4.37994418142045e-12,4.4512829641259e-11
WBGene00022057,-0.764652909,4.860215192,92.17553705,4.40807719108528e-12,4.4737873620602e-11
WBGene00021497,0.858434394,5.769430761,92.17454127,4.40854732111766e-12,4.4737873620602e-11
WBGene00009966,-0.894009467,5.01833649,92.16167517,4.41760793043727e-12,4.47970022345659e-11
WBGene00010262,0.973307134,6.228990811,92.15034886,4.4252331811487e-12,4.48414996527226e-11
WBGene00017667,2.364133051,3.158481741,92.12711909,4.44641583631523e-12,4.50232106466656e-11
WBGene00018406,2.455328753,0.697590939,92.53974093,4.49958035265901e-12,4.55282593462619e-11
WBGene00009996,0.978732754,5.396374617,91.94693197,4.5684412086e-12,4.61912756361512e-11
WBGene00006372,1.011939346,4.632920449,91.93181692,4.57996753665451e-12,4.62740410778543e-11
WBGene00014098,0.446440141,6.98630324,91.91764052,4.58936754600376e-12,4.63352181102362e-11
WBGene00021857,-0.835295681,8.019494777,91.85442707,4.63504558226019e-12,4.67623098364663e-11
WBGene00017169,-0.802145389,4.896928799,91.73726623,4.72126056901452e-12,4.75974537132381e-11
WBGene00011032,-0.750943749,5.785812069,91.69799922,4.75021117960552e-12,4.78544910981059e-11
WBGene00001448,0.71909803,5.811456446,91.60828242,4.81758121521802e-12,4.84979178729652e-11
WBGene00007017,-0.706599049,5.933020493,91.55185244,4.86046097766241e-12,4.88864221244246e-11
WBGene00021933,-0.845119841,6.309477778,91.54820184,4.86323200169341e-12,4.88864221244246e-11
WBGene00019734,0.908838752,3.819911622,91.39412141,4.98463741891803e-12,5.00497068833798e-11
WBGene00017003,-1.133583628,4.691420964,91.39000815,4.98618217579152e-12,5.00497068833798e-11
WBGene00011517,1.757286436,3.550455602,91.36932936,5.00513052947021e-12,5.01672176287515e-11
WBGene00001581,-1.166871218,10.37243866,91.36522381,5.00513245473105e-12,5.01672176287515e-11
WBGene00007685,-1.017015751,4.365817137,91.31731533,5.04436199438392e-12,5.05238628678279e-11
WBGene00011883,-0.486787369,5.971459648,91.29119185,5.06382512397219e-12,5.06821572379066e-11
WBGene00003947,-0.85265815,7.352948007,91.24051017,5.10435739070139e-12,5.102401544661e-11
WBGene00022130,1.949894572,2.164663188,91.2573682,5.10726282955143e-12,5.102401544661e-11
WBGene00022107,-0.664618522,4.262273986,91.23667178,5.10903186719954e-12,5.102401544661e-11
WBGene00002107,1.433895505,2.683589669,91.23842904,5.11411855534001e-12,5.10380188966642e-11
WBGene00018951,-0.967380764,6.634002526,91.09745597,5.22072428769108e-12,5.20644152866068e-11
WBGene00001858,2.084299815,3.541755884,91.09540603,5.2258918084052e-12,5.20784556331142e-11
WBGene00018426,-0.614177588,7.710199003,91.06076332,5.25099947851913e-12,5.22803799917757e-11
WBGene00009187,-0.732371327,7.492153975,91.05750154,5.2537026385036e-12,5.22803799917757e-11
WBGene00007509,2.541374601,0.667030959,91.49578736,5.29281921964392e-12,5.26318247168037e-11
WBGene00020703,-0.623855723,5.43228408,90.9921382,5.3082361380547e-12,5.2747264694644e-11
WBGene00014175,1.509450214,2.257400136,90.974424,5.33677781006781e-12,5.29928646774619e-11
WBGene00004878,2.345366811,1.343346027,91.0020222,5.37860661048856e-12,5.33699561378851e-11
WBGene00018318,1.372646477,2.930596573,90.90019713,5.39132142462719e-12,5.34578270393241e-11
WBGene00023485,1.641329667,2.408684376,90.8525656,5.44110741229872e-12,5.39128897533347e-11
WBGene00004123,1.317390806,4.028886347,90.82622176,5.45097569853564e-12,5.39720624561227e-11
WBGene00020636,-0.574117062,7.494359103,90.72420407,5.53758553598097e-12,5.47904534602917e-11
WBGene00007178,0.85564892,4.428393498,90.64382674,5.60991068681804e-12,5.54664402810874e-11
WBGene00009330,-1.170796057,3.515303206,90.61326098,5.63878956600138e-12,5.57122061827754e-11
WBGene00008132,-1.491852992,7.389845068,90.55414674,5.68858761132813e-12,5.61641593671542e-11
WBGene00001001,-0.676355491,6.214788404,90.53166106,5.7088999933513e-12,5.63245603332636e-11
WBGene00021875,1.208233805,4.609721226,90.46873867,5.76721324975871e-12,5.68593864310731e-11
WBGene00018249,0.89324215,5.478242864,90.45551423,5.77822941063384e-12,5.69274778066144e-11
WBGene00010328,1.509521011,2.575016429,90.42131864,5.81932773475704e-12,5.72916331072172e-11
WBGene00021247,-1.623053914,5.138861696,90.37258542,5.8549884652887e-12,5.76017757252692e-11
WBGene00017663,1.232377824,5.665695142,90.35745884,5.86870913788925e-12,5.76957835188374e-11
WBGene00012343,-0.604844282,7.158937401,90.30826553,5.91459224719649e-12,5.81056253958622e-11
WBGene00008963,-2.438479228,6.684450696,90.30102355,5.921422674164e-12,5.81315002710983e-11
WBGene00021446,2.428140146,3.320313877,90.28563142,5.9417352772757e-12,5.82896013178634e-11
WBGene00001438,2.900707948,1.151932611,90.37351333,5.97240662674355e-12,5.85490280209849e-11
WBGene00004463,-0.930241928,7.569293407,90.23727682,5.98157557724263e-12,5.85974433493387e-11
WBGene00022718,0.700564815,7.03579944,90.16475649,6.05083587157271e-12,5.92340484049648e-11
WBGene00020714,1.069354582,3.62800369,90.13086775,6.0866278553915e-12,5.95423510260473e-11
WBGene00010847,-0.642821126,4.992869286,90.05819131,6.15444033959553e-12,6.01632375328704e-11
WBGene00011527,-0.665117113,6.776297071,90.05250682,6.15969801492217e-12,6.01721698890705e-11
WBGene00010935,1.404278713,6.061228662,89.9805003,6.23064586363118e-12,6.08223442586463e-11
WBGene00007372,1.391214355,3.941495979,89.97485902,6.23858162296768e-12,6.08569243953157e-11
WBGene00020839,-0.740447174,6.404611953,89.90052834,6.31037804190984e-12,6.15139737062175e-11
WBGene00015344,-0.781386965,8.283692905,89.82792825,6.38368443545886e-12,6.21848078762139e-11
WBGene00022393,0.696804427,4.388990441,89.8185052,6.39502689425185e-12,6.22515197042703e-11
WBGene00013790,-0.679952491,5.133875443,89.8077378,6.40443597407715e-12,6.22993308377224e-11
WBGene00009929,1.222961908,2.678891033,89.75053697,6.47155792798606e-12,6.29040819184987e-11
WBGene00001623,2.582637404,3.433371901,89.74422072,6.47568732426936e-12,6.29040819184987e-11
WBGene00003956,-0.6919229,7.571453921,89.58762045,6.63286436026539e-12,6.43857302861921e-11
WBGene00020462,0.635661054,5.150644907,89.57526115,6.64611836209127e-12,6.44692097700898e-11
WBGene00011033,-0.814437426,4.912691178,89.5369627,6.68705132400956e-12,6.47979496882465e-11
WBGene00004924,0.790363767,7.307461157,89.53445101,6.68936385028822e-12,6.47979496882465e-11
WBGene00003247,-0.501397032,7.534574676,89.41355324,6.81971152530929e-12,6.60144263092833e-11
WBGene00015918,3.803814155,0.044394392,90.49006933,6.92058362880216e-12,6.69440813031896e-11
WBGene00003789,-0.633593619,7.051446636,89.2451603,7.00573223461327e-12,6.77204486488926e-11
WBGene00010721,-1.026875949,4.598046292,89.18723787,7.07204121240872e-12,6.83137481689578e-11
WBGene00009140,1.086265734,5.04350797,89.13836623,7.12674350003096e-12,6.87941818553511e-11
WBGene00006518,-0.615835847,6.828423471,89.1300969,7.13589544956343e-12,6.88345569410533e-11
WBGene00018418,-4.310326884,7.755452623,89.11303981,7.15560434285144e-12,6.89766397753502e-11
WBGene00003950,-0.863362178,6.727096792,89.08879699,7.18323351088157e-12,6.91948196055157e-11
WBGene00008225,0.895366371,4.444871367,89.07665469,7.19900048347421e-12,6.92985091710109e-11
WBGene00010041,1.657612802,4.420613565,89.01157169,7.27467252390486e-12,6.99783081952292e-11
WBGene00016749,-1.119841381,7.136821309,89.00115752,7.28476324509248e-12,7.00267456426239e-11
