WB_id,consensus_module,consensus_strength,chemical,logFC,FDR,is_detected,direction
WBGene00017957,1,1.0,PFOSA,-0.134097296,0.434445323,False,down
WBGene00164973,1,1.0,PFOSA,-0.184442012,0.435009864,False,down
WBGene00001687,1,1.0,PFOSA,-0.132570556,0.435085084,False,down
WBGene00044759,1,0.9666666666666667,PFOSA,0.177391668,0.435856879,False,up
WBGene00019249,1,1.0,PFOSA,-0.057618452,0.438944093,False,down
WBGene00005652,1,0.5666666666666667,PFOSA,0.171846949,0.440996124,False,up
WBGene00021492,1,1.0,PFOSA,0.218651233,0.446011479,False,up
WBGene00271605,1,0.9666666666666667,PFOSA,-0.26779137,0.446589142,False,down
WBGene00006730,1,1.0,PFOSA,-0.05553454,0.448639677,False,down
WBGene00021709,1,1.0,PFOSA,-0.167378969,0.449039874,False,down
WBGene00017032,1,0.9333333333333333,PFOSA,0.179083629,0.449503396,False,up
WBGene00008342,1,1.0,PFOSA,-0.098360783,0.449693822,False,down
WBGene00016048,1,0.7666666666666667,PFOSA,0.214864475,0.450488962,False,up
WBGene00006423,1,0.8333333333333334,PFOSA,0.055529731,0.453261301,False,up
WBGene00007867,1,0.9666666666666667,PFOSA,-0.207725824,0.456709905,False,down
WBGene00017441,1,0.9666666666666667,PFOSA,0.280734827,0.458760702,False,up
WBGene00021860,1,0.8666666666666667,PFOSA,0.412807165,0.459088431,False,up
WBGene00004197,1,1.0,PFOSA,-0.101676169,0.459088431,False,down
WBGene00001906,1,0.9666666666666667,PFOSA,0.157463004,0.46195545,False,up
WBGene00011668,1,0.9333333333333333,PFOSA,0.356228103,0.462171603,False,up
WBGene00020402,1,0.9666666666666667,PFOSA,0.074154045,0.462284845,False,up
WBGene00009061,1,0.9666666666666667,PFOSA,0.422724519,0.462639557,False,up
WBGene00016201,1,0.9666666666666667,PFOSA,0.144579915,0.463961547,False,up
WBGene00001939,1,0.9666666666666667,PFOSA,0.242163351,0.464354319,False,up
WBGene00001451,1,0.9666666666666667,PFOSA,0.085612695,0.4645722,False,up
WBGene00012530,1,1.0,PFOSA,-0.067734645,0.466437705,False,down
WBGene00009617,1,1.0,PFOSA,-0.085956922,0.468671967,False,down
WBGene00011212,1,1.0,PFOSA,0.085111855,0.469386592,False,up
WBGene00008484,1,0.9666666666666667,PFOSA,-0.147388826,0.469658267,False,down
WBGene00004005,1,0.9666666666666667,PFOSA,0.125860142,0.470695511,False,up
WBGene00001879,1,0.9666666666666667,PFOSA,0.258132161,0.470962941,False,up
WBGene00007558,1,1.0,PFOSA,-0.135638619,0.471280939,False,down
WBGene00016756,1,0.9,PFOSA,-0.115351968,0.473816363,False,down
WBGene00020029,1,0.9666666666666667,PFOSA,0.070849849,0.477083632,False,up
WBGene00004238,1,1.0,PFOSA,-0.054916106,0.478294047,False,down
WBGene00020726,1,0.9666666666666667,PFOSA,-0.078802816,0.479106934,False,down
WBGene00004405,1,1.0,PFOSA,-0.080761828,0.480150846,False,down
WBGene00016292,1,1.0,PFOSA,-0.051800916,0.482902667,False,down
WBGene00007866,1,0.5333333333333333,PFOSA,0.283726792,0.487162825,False,up
WBGene00019029,1,0.9666666666666667,PFOSA,0.226982336,0.487162825,False,up
WBGene00007657,1,0.9666666666666667,PFOSA,0.443157563,0.487942604,False,up
WBGene00019058,1,1.0,PFOSA,-0.147612822,0.489313048,False,down
WBGene00002717,1,0.9666666666666667,PFOSA,-0.042030209,0.489488465,False,down
WBGene00012149,1,0.9,PFOSA,0.092622957,0.490637864,False,up
WBGene00016409,1,0.9666666666666667,PFOSA,0.060807797,0.491734102,False,up
WBGene00009413,1,1.0,PFOSA,0.215788792,0.493900403,False,up
WBGene00045416,1,0.9666666666666667,PFOSA,0.288321893,0.496722281,False,up
WBGene00015224,1,0.9666666666666667,PFOSA,0.35241846,0.498347352,False,up
WBGene00002223,1,1.0,PFOSA,0.041069901,0.500674143,False,up
WBGene00016939,1,1.0,PFOSA,-0.114152171,0.502384996,False,down
WBGene00012910,1,0.9666666666666667,PFOSA,0.277203517,0.502432051,False,up
WBGene00018839,1,1.0,PFOSA,-0.252382886,0.502915028,False,down
WBGene00007591,1,1.0,PFOSA,0.077332003,0.503343062,False,up
WBGene00077757,1,0.8666666666666667,PFOSA,-0.301535976,0.503485872,False,down
WBGene00008948,1,1.0,PFOSA,-0.037245558,0.504640056,False,down
WBGene00016217,1,1.0,PFOSA,-0.12289415,0.506016563,False,down
