WB_id,module
WBGene00013586,3
WBGene00015282,0
WBGene00013740,0
WBGene00016844,0
WBGene00015076,4
WBGene00004227,4
WBGene00022739,0
WBGene00007460,4
WBGene00017892,0
WBGene00020184,0
WBGene00017283,0
WBGene00001774,0
WBGene00020068,0
WBGene00004014,0
WBGene00012665,0
WBGene00007001,0
WBGene00020269,0
WBGene00018953,4
WBGene00002244,0
WBGene00007764,4
WBGene00006684,4
WBGene00010872,4
WBGene00011042,4
WBGene00014244,2
WBGene00018204,4
WBGene00001446,4
WBGene00010665,3
WBGene00020592,1
WBGene00008583,2
WBGene00006686,3
WBGene00019233,3
WBGene00011488,0
WBGene00020902,0
WBGene00020148,4
WBGene00012738,0
WBGene00020706,4
WBGene00017342,4
WBGene00016234,4
WBGene00000788,4
WBGene00008780,4
WBGene00011803,0
WBGene00020142,4
WBGene00007302,4
WBGene00011344,4
WBGene00018744,0
WBGene00014016,4
WBGene00013672,4
WBGene00021757,0
WBGene00008123,0
WBGene00006724,0
WBGene00021351,0
WBGene00009380,4
WBGene00021888,0
WBGene00000381,0
WBGene00013340,0
WBGene00012977,0
WBGene00008832,4
WBGene00008603,4
WBGene00044481,3
WBGene00010015,0
WBGene00001501,2
WBGene00011481,0
WBGene00018984,2
WBGene00009092,0
WBGene00003599,4
WBGene00002804,0
WBGene00001758,0
WBGene00044183,3
WBGene00012714,0
WBGene00001452,4
WBGene00017515,3
WBGene00013647,3
WBGene00017719,2
WBGene00016103,0
WBGene00008040,4
WBGene00000391,2
WBGene00016894,4
WBGene00003725,4
WBGene00008401,0
WBGene00015965,2
WBGene00007000,0
WBGene00016866,4
WBGene00022180,0
WBGene00015676,0
WBGene00006705,4
WBGene00020219,4
WBGene00015551,4
WBGene00011112,0
WBGene00011232,4
WBGene00001233,0
WBGene00003925,0
WBGene00006512,0
WBGene00012825,4
WBGene00015042,3
WBGene00001154,0
WBGene00010405,0
WBGene00004144,4
WBGene00022615,0
WBGene00006604,0
WBGene00194641,4
WBGene00012992,0
WBGene00008258,0
WBGene00021276,0
WBGene00018341,0
WBGene00017834,4
WBGene00008409,0
WBGene00013311,0
WBGene00006924,0
WBGene00017948,0
WBGene00007508,4
WBGene00016142,0
WBGene00014058,4
WBGene00001234,0
WBGene00002077,0
WBGene00002497,0
WBGene00014249,0
WBGene00008494,2
WBGene00012713,0
WBGene00004382,4
WBGene00001635,0
WBGene00003573,4
WBGene00002879,0
WBGene00007712,0
WBGene00001423,0
WBGene00018872,4
WBGene00000383,4
WBGene00007630,0
WBGene00014083,0
WBGene00010139,0
WBGene00000266,2
WBGene00021248,0
WBGene00003815,0
WBGene00000298,4
WBGene00018866,0
WBGene00012466,4
WBGene00007395,4
WBGene00021890,4
WBGene00022722,0
WBGene00003130,0
WBGene00012610,3
WBGene00000800,0
WBGene00021466,0
WBGene00020909,3
WBGene00001427,0
WBGene00008617,3
WBGene00020216,0
WBGene00008692,0
WBGene00000475,0
WBGene00002005,0
WBGene00010985,3
WBGene00001840,0
WBGene00022181,4
WBGene00044344,0
WBGene00004233,0
WBGene00019232,4
WBGene00015552,4
WBGene00009291,4
WBGene00019748,4
WBGene00015350,4
WBGene00001439,4
WBGene00016340,1
WBGene00006603,3
WBGene00006447,0
WBGene00006964,0
WBGene00012366,4
WBGene00011018,4
WBGene00003390,0
WBGene00009211,0
WBGene00013997,0
WBGene00002981,4
WBGene00012126,0
WBGene00007605,3
WBGene00006059,0
WBGene00016407,4
WBGene00022797,4
WBGene00015250,4
WBGene00003893,0
WBGene00000883,0
WBGene00022793,0
WBGene00000503,4
WBGene00019380,0
WBGene00003568,4
WBGene00004302,0
WBGene00010097,0
WBGene00020097,0
WBGene00019645,3
WBGene00001020,0
WBGene00011849,4
WBGene00002980,4
WBGene00010480,4
WBGene00011899,4
WBGene00009797,4
WBGene00004210,3
WBGene00011222,2
WBGene00007992,4
WBGene00022738,0
WBGene00018732,4
WBGene00001113,0
WBGene00010766,0
WBGene00011412,0
WBGene00012361,0
WBGene00011730,0
WBGene00009578,4
WBGene00018758,4
WBGene00021512,0
WBGene00018293,2
WBGene00006626,0
WBGene00008781,0
WBGene00017816,0
WBGene00009033,4
WBGene00015461,0
WBGene00017319,0
WBGene00022046,0
WBGene00011006,2
WBGene00045433,0
WBGene00006472,0
WBGene00022122,0
WBGene00017336,3
WBGene00003957,2
WBGene00019284,4
WBGene00019678,0
WBGene00021754,0
WBGene00002070,0
WBGene00021624,4
WBGene00016250,2
WBGene00007073,1
WBGene00010560,0
WBGene00001240,2
WBGene00016913,0
WBGene00000179,0
WBGene00008027,4
WBGene00000933,0
WBGene00017149,2
WBGene00013039,4
WBGene00015369,4
WBGene00008428,0
WBGene00000877,0
WBGene00011586,4
WBGene00017085,0
WBGene00006700,0
WBGene00016101,4
WBGene00004506,2
WBGene00020576,2
WBGene00002037,0
WBGene00019893,0
WBGene00011285,3
WBGene00011182,0
WBGene00009028,4
WBGene00012945,4
WBGene00011638,0
WBGene00022178,4
WBGene00003697,4
WBGene00006936,0
WBGene00015249,4
WBGene00003926,0
WBGene00004461,0
WBGene00011059,0
WBGene00001089,0
WBGene00206525,4
WBGene00002256,0
WBGene00016140,0
WBGene00008444,4
WBGene00000731,0
WBGene00012123,0
WBGene00020600,0
WBGene00009367,0
WBGene00013668,0
WBGene00008646,0
WBGene00010177,4
WBGene00018362,0
WBGene00003799,0
WBGene00007455,1
WBGene00019436,4
WBGene00021073,0
WBGene00013481,3
WBGene00017510,3
WBGene00013983,0
WBGene00012013,4
WBGene00006915,0
WBGene00001333,0
WBGene00020437,0
WBGene00004411,0
WBGene00015947,4
WBGene00004156,0
WBGene00016097,4
WBGene00003928,0
WBGene00015777,0
WBGene00010018,4
WBGene00016496,0
WBGene00023500,0
WBGene00003829,0
WBGene00004825,4
WBGene00013765,0
WBGene00013018,0
WBGene00010277,0
WBGene00004188,0
WBGene00011759,0
WBGene00016500,4
WBGene00013633,4
WBGene00003696,3
WBGene00004915,0
WBGene00007784,0
WBGene00004788,0
WBGene00016934,2
WBGene00008408,2
WBGene00001229,0
WBGene00020836,0
WBGene00001395,4
WBGene00012887,0
WBGene00016716,4
WBGene00001819,2
WBGene00044321,0
WBGene00017984,0
WBGene00016653,0
WBGene00011775,0
WBGene00020682,0
WBGene00018891,0
WBGene00010677,0
WBGene00019209,0
WBGene00019162,0
WBGene00020683,0
WBGene00015497,4
WBGene00001772,2
WBGene00019617,0
WBGene00018492,3
WBGene00007696,0
WBGene00022148,0
WBGene00011026,4
WBGene00013073,2
WBGene00013899,4
WBGene00008412,4
WBGene00009082,2
WBGene00004502,0
WBGene00017364,3
WBGene00000894,4
WBGene00011099,4
WBGene00020854,4
WBGene00000111,3
WBGene00007235,0
WBGene00019481,0
WBGene00020499,0
WBGene00003963,0
WBGene00010094,0
WBGene00021844,0
WBGene00019968,1
WBGene00018294,4
WBGene00012728,3
WBGene00001328,2
WBGene00015501,4
WBGene00002060,0
WBGene00004234,4
WBGene00022235,0
WBGene00016877,0
WBGene00012185,4
WBGene00019673,2
WBGene00006666,0
WBGene00007666,4
WBGene00004304,0
WBGene00018156,0
WBGene00017241,2
WBGene00009384,4
WBGene00008435,4
WBGene00020258,2
WBGene00020919,0
WBGene00012819,4
WBGene00022373,0
WBGene00006781,0
WBGene00015133,0
WBGene00004231,4
WBGene00007394,0
WBGene00000722,0
WBGene00012144,4
WBGene00001227,0
WBGene00006523,4
WBGene00017028,0
WBGene00010407,4
WBGene00021909,4
WBGene00006656,3
WBGene00022470,0
WBGene00006734,2
WBGene00004138,4
WBGene00018159,0
WBGene00002247,0
WBGene00001169,0
WBGene00003902,2
WBGene00007638,4
WBGene00000740,0
WBGene00018893,0
WBGene00000920,2
WBGene00001455,4
WBGene00022072,0
WBGene00012342,0
WBGene00002084,4
WBGene00011694,0
WBGene00019885,3
WBGene00005657,4
WBGene00015814,0
WBGene00000502,0
WBGene00017613,3
WBGene00018967,0
WBGene00019235,3
WBGene00007507,3
WBGene00009542,0
WBGene00004978,0
WBGene00008628,4
WBGene00013946,2
WBGene00010725,0
WBGene00006921,0
WBGene00012834,0
WBGene00003795,0
WBGene00003522,0
WBGene00019983,0
WBGene00013905,4
WBGene00002080,0
WBGene00009982,0
WBGene00007686,0
WBGene00022261,1
WBGene00004189,0
WBGene00019127,3
WBGene00004465,0
WBGene00007414,4
WBGene00010019,3
WBGene00000182,0
WBGene00004504,0
WBGene00000378,0
WBGene00017060,3
WBGene00003858,4
WBGene00012497,0
WBGene00000898,4
WBGene00018046,0
WBGene00007919,4
WBGene00003744,4
WBGene00015620,0
WBGene00001000,0
WBGene00015040,4
WBGene00010251,4
WBGene00006590,0
WBGene00020160,0
WBGene00002071,0
WBGene00004177,4
WBGene00011284,4
WBGene00006826,0
WBGene00020601,0
WBGene00021686,0
WBGene00007878,4
WBGene00006574,0
WBGene00003922,2
WBGene00003730,0
WBGene00010116,2
WBGene00017044,0
WBGene00010925,2
WBGene00004015,0
WBGene00012928,4
WBGene00021587,3
WBGene00003738,0
WBGene00008988,3
WBGene00022798,4
WBGene00001566,0
WBGene00007855,4
WBGene00001045,0
WBGene00000197,0
WBGene00016134,2
WBGene00018911,2
WBGene00020593,4
WBGene00012494,3
WBGene00001591,4
WBGene00014697,3
WBGene00011050,4
WBGene00019300,4
WBGene00001029,0
WBGene00022781,4
WBGene00219316,4
WBGene00000282,3
WBGene00016235,0
WBGene00016302,4
WBGene00007927,0
WBGene00271821,3
WBGene00010723,4
WBGene00022401,4
WBGene00021534,2
WBGene00021930,0
WBGene00009189,0
WBGene00016014,0
WBGene00018045,2
WBGene00018781,0
WBGene00006916,3
WBGene00019782,4
WBGene00003962,0
WBGene00013898,4
WBGene00008572,4
WBGene00011158,3
WBGene00019323,0
WBGene00019381,4
WBGene00000901,4
WBGene00001479,4
WBGene00001303,0
WBGene00021789,0
WBGene00001456,4
WBGene00003923,0
WBGene00009342,0
WBGene00000215,2
WBGene00019497,4
WBGene00017101,2
WBGene00003482,0
WBGene00015916,0
WBGene00020869,3
WBGene00000534,4
WBGene00002025,0
WBGene00007950,4
WBGene00017435,0
WBGene00007952,0
WBGene00017095,3
WBGene00003921,0
WBGene00016513,4
WBGene00014081,4
WBGene00022851,0
WBGene00017217,0
WBGene00000550,0
WBGene00014125,4
WBGene00022792,0
WBGene00012316,0
WBGene00003162,0
WBGene00001166,0
WBGene00021921,0
WBGene00011097,4
WBGene00019017,2
WBGene00015352,3
WBGene00019636,4
WBGene00022115,4
WBGene00019105,3
WBGene00010582,0
WBGene00013238,0
WBGene00018823,2
WBGene00013146,4
WBGene00000401,0
WBGene00014013,4
WBGene00016093,3
WBGene00007890,3
WBGene00020687,0
WBGene00003411,3
WBGene00002069,4
WBGene00003796,0
WBGene00000541,0
WBGene00001057,0
WBGene00007681,0
WBGene00012070,3
WBGene00003746,4
WBGene00017127,4
WBGene00019275,0
WBGene00012386,0
WBGene00017799,0
WBGene00003567,0
WBGene00018729,4
WBGene00012383,4
WBGene00008447,4
WBGene00021112,0
WBGene00001258,0
WBGene00022131,3
WBGene00021681,0
WBGene00044650,4
WBGene00004085,0
WBGene00022188,0
WBGene00011292,4
WBGene00015941,0
WBGene00002273,0
WBGene00022087,0
WBGene00008762,0
WBGene00009050,4
WBGene00015776,4
WBGene00001815,0
WBGene00019693,0
WBGene00001459,4
WBGene00002253,4
WBGene00010624,0
WBGene00000931,0
WBGene00001454,4
WBGene00009674,0
WBGene00021595,0
WBGene00001430,0
WBGene00021826,0
WBGene00003678,4
WBGene00018621,4
WBGene00009533,3
WBGene00016837,0
WBGene00003148,0
WBGene00003948,2
WBGene00000765,0
WBGene00007833,3
WBGene00008274,3
WBGene00010701,0
WBGene00022119,0
WBGene00022026,4
WBGene00016114,4
WBGene00021134,3
WBGene00004698,0
WBGene00011995,4
WBGene00019466,4
WBGene00003072,4
WBGene00007900,4
WBGene00018827,0
WBGene00006530,0
WBGene00009503,4
WBGene00002048,4
WBGene00004134,0
WBGene00021660,0
WBGene00009702,4
WBGene00019263,4
WBGene00007226,4
WBGene00003762,0
WBGene00010115,4
WBGene00001230,0
WBGene00008891,2
WBGene00021597,4
WBGene00019487,4
WBGene00016104,0
WBGene00003798,0
WBGene00017979,4
WBGene00019353,4
WBGene00002044,2
WBGene00018961,0
WBGene00020224,4
WBGene00002153,0
WBGene00004727,4
WBGene00008926,4
WBGene00017478,4
WBGene00021312,4
WBGene00017331,3
WBGene00006607,4
WBGene00021047,4
WBGene00001431,0
WBGene00011561,4
WBGene00009955,4
WBGene00017830,0
WBGene00011270,4
WBGene00014096,4
WBGene00009515,2
WBGene00011605,0
WBGene00011304,4
WBGene00004271,4
WBGene00012469,0
WBGene00019813,2
WBGene00001744,0
WBGene00001047,0
WBGene00013025,0
WBGene00007958,4
WBGene00008678,3
WBGene00018604,0
WBGene00017045,4
WBGene00010244,4
WBGene00021715,0
WBGene00010796,4
WBGene00020423,0
WBGene00003036,0
WBGene00002850,0
WBGene00003677,3
WBGene00000136,2
WBGene00004914,0
WBGene00021335,0
WBGene00012018,0
WBGene00044181,3
WBGene00010488,4
WBGene00009106,4
WBGene00001498,0
WBGene00008514,0
WBGene00013213,0
WBGene00004468,0
WBGene00004501,2
WBGene00004068,3
WBGene00015251,4
WBGene00020054,2
WBGene00007556,0
WBGene00011939,0
WBGene00011639,4
WBGene00010440,4
WBGene00007544,4
WBGene00014176,0
WBGene00010437,0
WBGene00016011,2
WBGene00018226,3
WBGene00010670,0
WBGene00015425,0
WBGene00011052,4
WBGene00007362,3
WBGene00017163,0
WBGene00009842,4
WBGene00010845,0
WBGene00019629,0
WBGene00020200,4
WBGene00011679,0
WBGene00013654,2
WBGene00022382,2
WBGene00012659,0
WBGene00022610,2
WBGene00019427,4
WBGene00020736,4
WBGene00004702,0
WBGene00044433,4
WBGene00003753,4
WBGene00017362,2
WBGene00013168,0
WBGene00004755,0
WBGene00002637,0
WBGene00011328,4
WBGene00009809,4
WBGene00003055,0
WBGene00018932,0
WBGene00004208,4
WBGene00001476,4
WBGene00013242,4
WBGene00010945,4
WBGene00019679,0
WBGene00017126,3
WBGene00022540,4
WBGene00001262,3
WBGene00007207,0
WBGene00010330,0
WBGene00016396,4
WBGene00020383,2
WBGene00013575,2
WBGene00018334,3
WBGene00022056,0
WBGene00008625,3
WBGene00001637,0
WBGene00015043,3
WBGene00010984,0
WBGene00008522,4
WBGene00003924,2
WBGene00018533,0
WBGene00003392,0
WBGene00015956,0
WBGene00015286,4
WBGene00001781,3
WBGene00000286,4
WBGene00000896,0
WBGene00018762,0
WBGene00003794,0
WBGene00012326,4
WBGene00008647,4
WBGene00008886,4
WBGene00020191,2
WBGene00016964,0
WBGene00019298,4
WBGene00004214,0
WBGene00003721,4
WBGene00018161,0
WBGene00011302,0
WBGene00001955,4
WBGene00019658,0
WBGene00006591,4
WBGene00011526,0
WBGene00007957,4
WBGene00044640,4
WBGene00020263,0
WBGene00007859,0
WBGene00015399,3
WBGene00013926,4
WBGene00011850,3
WBGene00004888,0
WBGene00009118,0
WBGene00015868,4
WBGene00017838,3
WBGene00015400,3
WBGene00003953,2
WBGene00004933,4
WBGene00004467,0
WBGene00017749,0
WBGene00015413,2
WBGene00021237,4
WBGene00003693,4
WBGene00004025,0
WBGene00020742,0
WBGene00006663,4
WBGene00002039,0
WBGene00014054,2
WBGene00008459,0
WBGene00016508,0
WBGene00022114,0
WBGene00006942,0
WBGene00015599,3
WBGene00012750,3
WBGene00004249,4
WBGene00044811,1
WBGene00007443,0
WBGene00010055,2
WBGene00011758,0
WBGene00022258,3
WBGene00014258,3
WBGene00002045,2
WBGene00009045,0
WBGene00012484,0
WBGene00008405,0
WBGene00008323,3
WBGene00006675,0
WBGene00303021,0
WBGene00018656,0
WBGene00004464,0
WBGene00017620,4
WBGene00022037,0
WBGene00011392,4
WBGene00009978,4
WBGene00011692,4
WBGene00007564,0
WBGene00018017,0
WBGene00018431,0
WBGene00009829,0
WBGene00015889,4
WBGene00015434,4
WBGene00013874,2
WBGene00000941,0
WBGene00019113,4
WBGene00044737,4
WBGene00017969,0
WBGene00013637,3
WBGene00013900,4
WBGene00005602,4
WBGene00015633,4
WBGene00011098,4
WBGene00002229,0
WBGene00022044,0
WBGene00000785,2
WBGene00010320,4
WBGene00019433,0
WBGene00019276,0
WBGene00015713,2
WBGene00018853,0
WBGene00001087,4
WBGene00219373,4
WBGene00010785,0
WBGene00012015,2
WBGene00011953,4
WBGene00006491,0
WBGene00003801,0
WBGene00021176,4
WBGene00006572,0
WBGene00044094,2
WBGene00017484,4
WBGene00008971,4
WBGene00007105,0
WBGene00003610,3
WBGene00021783,0
WBGene00003756,4
WBGene00016995,2
WBGene00019759,0
WBGene00009237,2
WBGene00018782,2
WBGene00021567,1
WBGene00011281,0
WBGene00020391,0
WBGene00008914,4
WBGene00013263,0
WBGene00019322,0
WBGene00006408,0
WBGene00013578,4
WBGene00022386,4
WBGene00010232,4
WBGene00022441,4
WBGene00021482,4
WBGene00022144,4
WBGene00020886,4
WBGene00019166,4
WBGene00021322,2
WBGene00012641,4
WBGene00006608,4
WBGene00002001,0
WBGene00009386,4
WBGene00016888,0
WBGene00013156,0
WBGene00019886,1
WBGene00009583,0
WBGene00022176,0
WBGene00013361,0
WBGene00009439,4
WBGene00006613,0
WBGene00019388,3
WBGene00008354,0
WBGene00003589,4
WBGene00003606,4
WBGene00016506,3
WBGene00012697,0
WBGene00001225,0
WBGene00010713,0
WBGene00020549,2
WBGene00004466,0
WBGene00000380,0
WBGene00002275,0
WBGene00044779,4
WBGene00020317,4
WBGene00009653,0
WBGene00045516,4
WBGene00008774,0
WBGene00016664,0
WBGene00006529,0
WBGene00006786,4
WBGene00006720,4
WBGene00008506,2
WBGene00000225,0
WBGene00016422,0
WBGene00013924,0
WBGene00003652,3
WBGene00007971,0
WBGene00010703,0
WBGene00015326,2
WBGene00007972,0
WBGene00006856,0
WBGene00000990,0
WBGene00013111,4
WBGene00015759,1
WBGene00011705,4
WBGene00003949,2
WBGene00012445,0
WBGene00001396,3
WBGene00008043,1
WBGene00015515,0
WBGene00008615,4
WBGene00017768,0
WBGene00005078,0
WBGene00006815,0
WBGene00012804,0
WBGene00013382,4
WBGene00020932,0
WBGene00011353,2
WBGene00012216,4
WBGene00020479,0
WBGene00019741,3
WBGene00017785,4
WBGene00045387,3
WBGene00013880,0
WBGene00009818,0
WBGene00020995,4
WBGene00000370,4
WBGene00003951,0
WBGene00021420,0
WBGene00001068,0
WBGene00020469,4
WBGene00018836,0
WBGene00001464,4
WBGene00012934,0
WBGene00019854,4
WBGene00004318,4
WBGene00012351,4
WBGene00006575,3
WBGene00021268,4
WBGene00013324,0
WBGene00002152,0
WBGene00012886,4
WBGene00020717,0
WBGene00003622,0
WBGene00018008,0
WBGene00001309,0
WBGene00014099,4
WBGene00006640,0
WBGene00010070,2
WBGene00004875,2
WBGene00044525,3
WBGene00004336,4
WBGene00016677,4
WBGene00010075,0
WBGene00019593,4
WBGene00007050,0
WBGene00018380,3
WBGene00015927,0
WBGene00017726,4
WBGene00019727,0
WBGene00044471,4
WBGene00020849,4
WBGene00006536,0
WBGene00020808,0
WBGene00018564,4
WBGene00271795,4
WBGene00016670,3
WBGene00011064,0
WBGene00008389,4
WBGene00002000,0
WBGene00012722,0
WBGene00013007,2
WBGene00009559,0
WBGene00004874,0
WBGene00020208,4
WBGene00022042,2
WBGene00013020,4
WBGene00006823,4
WBGene00017098,0
WBGene00019148,0
WBGene00003986,0
WBGene00021133,0
WBGene00016412,0
WBGene00017800,0
WBGene00005117,3
WBGene00007312,0
WBGene00012980,4
WBGene00006489,0
WBGene00001852,4
WBGene00013950,3
WBGene00016195,0
WBGene00003952,2
WBGene00010730,4
WBGene00013516,4
WBGene00018913,1
WBGene00003544,4
WBGene00021469,4
WBGene00001320,0
WBGene00021170,0
WBGene00017571,0
WBGene00009057,0
WBGene00017306,4
WBGene00013920,2
WBGene00013151,0
WBGene00015476,4
WBGene00016119,3
WBGene00019918,4
WBGene00010941,0
WBGene00020999,0
WBGene00012652,0
WBGene00012555,0
WBGene00001073,0
WBGene00018897,0
WBGene00016411,0
WBGene00016391,2
WBGene00012205,0
WBGene00002079,0
WBGene00020315,4
WBGene00007555,4
WBGene00022816,0
WBGene00021427,0
WBGene00011185,4
WBGene00004386,0
WBGene00000123,0
WBGene00009787,2
WBGene00007435,0
WBGene00015055,4
WBGene00000273,4
WBGene00006701,4
WBGene00077526,0
WBGene00007647,4
WBGene00003649,4
WBGene00020691,0
WBGene00004703,0
WBGene00011740,0
WBGene00001330,0
WBGene00017464,4
WBGene00004923,4
WBGene00008042,2
WBGene00004388,0
WBGene00004187,0
WBGene00020813,0
WBGene00008458,0
WBGene00021475,0
WBGene00013267,0
WBGene00020083,0
WBGene00009654,0
WBGene00001331,0
WBGene00022493,0
WBGene00010812,0
WBGene00017950,4
WBGene00003635,4
WBGene00008777,4
WBGene00022643,4
WBGene00007479,0
WBGene00020135,4
WBGene00015695,2
WBGene00004732,2
WBGene00011289,3
WBGene00007765,4
WBGene00008053,2
WBGene00000277,4
WBGene00003870,0
WBGene00006431,4
WBGene00010746,3
WBGene00011003,3
WBGene00015124,2
WBGene00022864,2
WBGene00002268,3
WBGene00000675,4
WBGene00016641,0
WBGene00010178,0
WBGene00016631,2
WBGene00021830,0
WBGene00012148,4
WBGene00008411,0
WBGene00011043,0
WBGene00011932,2
WBGene00017300,0
WBGene00011364,3
WBGene00021956,4
WBGene00013046,4
WBGene00006307,0
WBGene00008205,0
WBGene00017681,3
WBGene00014017,4
WBGene00009521,0
WBGene00022063,4
WBGene00000978,4
WBGene00219274,1
WBGene00016509,4
WBGene00020446,4
WBGene00017303,4
WBGene00017961,4
WBGene00016714,2
WBGene00006794,0
WBGene00010720,0
WBGene00022440,4
WBGene00003632,4
WBGene00006366,0
WBGene00013244,4
WBGene00006982,4
WBGene00022463,0
WBGene00000923,0
WBGene00018150,4
WBGene00009594,4
WBGene00019365,4
WBGene00007750,2
WBGene00001069,0
WBGene00021752,0
WBGene00044324,0
WBGene00004918,0
WBGene00021702,4
WBGene00013958,0
WBGene00016345,4
WBGene00011839,4
WBGene00023408,4
WBGene00018036,3
WBGene00001769,3
WBGene00012966,0
WBGene00009352,0
WBGene00016734,4
WBGene00302980,0
WBGene00012556,0
WBGene00000172,2
WBGene00022416,0
WBGene00013321,0
WBGene00018743,0
WBGene00004916,0
WBGene00019488,4
WBGene00003123,0
WBGene00000549,0
WBGene00009133,0
WBGene00003062,0
WBGene00008624,0
WBGene00004194,3
WBGene00006706,0
WBGene00007989,3
WBGene00001031,0
WBGene00009801,4
WBGene00011239,0
WBGene00017133,4
WBGene00006515,0
WBGene00004503,2
WBGene00000236,0
WBGene00021876,4
WBGene00008485,3
WBGene00002075,0
WBGene00018960,0
WBGene00001444,4
WBGene00022253,0
WBGene00015949,2
WBGene00000479,0
WBGene00008591,3
WBGene00002073,0
WBGene00006897,2
WBGene00006565,0
WBGene00012550,0
WBGene00019836,0
WBGene00019884,4
WBGene00003528,4
WBGene00022057,0
WBGene00021497,4
WBGene00009966,0
WBGene00010262,4
WBGene00017667,3
WBGene00018406,3
WBGene00009996,4
WBGene00006372,4
WBGene00014098,3
WBGene00021857,0
WBGene00017169,0
WBGene00011032,0
WBGene00001448,4
WBGene00007017,0
WBGene00021933,0
WBGene00019734,3
WBGene00017003,0
WBGene00011517,4
WBGene00001581,2
WBGene00007685,0
WBGene00011883,0
WBGene00003947,2
WBGene00022130,4
WBGene00022107,0
WBGene00002107,3
WBGene00018951,0
WBGene00001858,4
WBGene00018426,2
WBGene00009187,2
WBGene00007509,3
WBGene00020703,2
WBGene00014175,4
WBGene00004878,3
WBGene00018318,4
WBGene00023485,3
